# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Sep 26 20:00:59 2025
#
# User ID:         holographic.sol
#
# User preference: archive defaults
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN gj_name:        GJ Name
# COLUMN tm_name:        2MASS Name
# COLUMN st_exocatflag:  ExoCat List Flag
# COLUMN st_coronagflag: Exo-C List Flag
# COLUMN st_starshadeflag: Exo-S List Flag
# COLUMN st_wfirstflag:  WFIRST List Flag
# COLUMN st_lbtiflag:    LBTI List Flag
# COLUMN st_rvflag:      Known RV Data
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_vmag:        V-band [mag]
# COLUMN st_vmagerr:     V-band Unc. [mag]
# COLUMN st_vmagsrc:     V-band Source
# COLUMN st_bmv:         B-V [mag]
# COLUMN st_bmverr:      B-V Unc. [mag]
# COLUMN st_bmvsrc:      B-V Source
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
# COLUMN st_lbolsrc:     Stellar Bolometric Luminosity Source
# COLUMN wds_designation: WDS Designation
# COLUMN wds_sep:        WDS Angular Separation [arcsec]
# COLUMN wds_deltamag:   WDS Magnitude Difference [mag]
# COLUMN st_fracplxunc:  Fractional Parallax Uncertainty
# COLUMN st_pmra:        Proper Motion (RA) [mas/yr]
# COLUMN st_pmraerr:     Proper Motion (RA) Unc. [mas/yr]
# COLUMN st_pmdec:       Proper Motion (Dec) [mas/yr]
# COLUMN st_pmdecerr:    Proper Motion (Dec) Unc. [mas/yr]
# COLUMN st_glon:        Galactic Longitude [deg]
# COLUMN st_glat:        Galactic Latitude [deg]
# COLUMN st_vmk:         V-K [mag]
# COLUMN st_vmkerr:      V-K Unc. [mag]
# COLUMN st_kmagsrc:     K-band Source
# COLUMN st_mbol:        Bolometric Magnitude [mag]
# COLUMN st_mbolerr:     Bolometric Magnitude Unc. [mag]
# COLUMN st_mbolsrc:     Bolometric Magnitude Source
# COLUMN st_mbolflag:    Bolometric Magnitude Contamination Flag
# COLUMN st_spttag:      Spectral Type Tag
# COLUMN st_lumclass:    Luminosity Class
# COLUMN st_eeidau:      Earth-Equivalent Insolation Distance [au]
# COLUMN st_eeidauerr:   Earth-Equivalent Insolation Distance Unc. [au]
# COLUMN st_eeidmas:     Earth-Equivalent Insolation Distance [mas]
# COLUMN st_eeidmaserr:  Earth-Equivalent Insolation Distance Unc. [mas]
# COLUMN st_fpbearth:    Fractional Planet Brightness
# COLUMN st_fpbeartherr: Fractional Planet Brightness Unc.
# COLUMN st_vmagearth:   Earth-Equivalent V-band Magnitude [mag]
# COLUMN st_vmageartherr: Earth-Equivalent V-band Magnitude Unc. [mag]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr:     Stellar Effective Temperature Unc. [K]
# COLUMN st_teffsrc:     Stellar Effective Temperature Source
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr:      Stellar Radius Unc. [Solar radii]
# COLUMN st_radsrc:      Stellar Radius Source
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr:     Stellar Mass Unc. [Solar mass]
# COLUMN st_masssrc:     Stellar Mass Source
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr:     Stellar Surface Gravity Unc. [log10(cm/s**2)]
# COLUMN st_loggsrc:     Stellar Surface Gravity Source
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr:      Stellar Age Unc. [Gyr]
# COLUMN st_agesrc:      Stellar Age Source
# COLUMN st_actclass:    Activity Class
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metfeerr:    Stellar Metallicity Unc. [dex]
# COLUMN st_metfesrc:    Stellar Metallicity Source
# COLUMN st_metratio:    Metallicity Ratio
# COLUMN st_probeflag:   Probe List Flag
# COLUMN st_k2flag:      K2 Flag
# COLUMN st_k2campaign:  K2 Campaign
# COLUMN st_nts:         Number of Time Series
# COLUMN st_nplc:        Number of Planet Transit Light Curves
# COLUMN st_nglc:        Number of General Light Curves
# COLUMN st_nrvc:        Number of Radial Velocity Curves
# COLUMN st_naxa:        Number of Amateur Light Curves
# COLUMN st_nimg:        Number of Images
# COLUMN st_nspec:       Number of Spectra
# COLUMN st_j2m:         J-band (2MASS) [mag]
# COLUMN st_j2merr:      J-band (2MASS) Unc. [mag]
# COLUMN st_j2mlim:      J-band (2MASS) Limit Flag
# COLUMN st_h2m:         H-band (2MASS) [mag]
# COLUMN st_h2merr:      H-band (2MASS) Unc. [mag]
# COLUMN st_h2mlim:      H-band (2MASS) Limit Flag
# COLUMN st_ks2m:        Ks-band (2MASS) [mag]
# COLUMN st_ks2merr:     Ks-band (2MASS) Unc. [mag]
# COLUMN st_ks2mlim:     Ks-band (2MASS) Limit Flag
# COLUMN st_wise1:       WISE 3.4um [mag]
# COLUMN st_wise1err:    WISE 3.4um Unc. [mag]
# COLUMN st_wise1lim:    WISE 3.4um Limit Flag
# COLUMN st_wise2:       WISE 4.6um [mag]
# COLUMN st_wise2err:    WISE 4.6um Unc. [mag]
# COLUMN st_wise2lim:    WISE 4.6um Limit Flag
# COLUMN st_wise3:       WISE 12.um [mag]
# COLUMN st_wise3err:    WISE 12.um Unc. [mag]
# COLUMN st_wise3lim:    WISE 12.um Limit Flag
# COLUMN st_wise4:       WISE 22.um [mag]
# COLUMN st_wise4err:    WISE 22.um Unc. [mag]
# COLUMN st_wise4lim:    WISE 22.um Limit Flag
#
rowid,star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc,wds_designation,wds_sep,wds_deltamag,st_fracplxunc,st_pmra,st_pmraerr,st_pmdec,st_pmdecerr,st_glon,st_glat,st_vmk,st_vmkerr,st_kmagsrc,st_mbol,st_mbolerr,st_mbolsrc,st_mbolflag,st_spttag,st_lumclass,st_eeidau,st_eeidauerr,st_eeidmas,st_eeidmaserr,st_fpbearth,st_fpbeartherr,st_vmagearth,st_vmageartherr,st_teff,st_tefferr,st_teffsrc,st_rad,st_raderr,st_radsrc,st_mass,st_masserr,st_masssrc,st_logg,st_loggerr,st_loggsrc,st_age,st_ageerr,st_agesrc,st_actclass,st_metfe,st_metfeerr,st_metfesrc,st_metratio,st_probeflag,st_k2flag,st_k2campaign,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_j2m,st_j2merr,st_j2mlim,st_h2m,st_h2merr,st_h2mlim,st_ks2m,st_ks2merr,st_ks2mlim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim
40,HIP 12114,HIP 12114,HD 16160,GJ 105 A,2MASS J02360498+0653140,1,0,1,1,1,1,0,02h36m03.83s,39.015969,+06d53m00.1s,6.883364,7.18,,,5.820,0.020,VT-G,0.980,0.020,BVT-G-Red,K3V,0.290,0.100,B-V,02361+0653,,,0.00,1806.300,,1442.500,,163.399783,-47.598704,,,,6.540,0.030,,0,K,MAINSEQ,0.54,,74.53,,0.00,,29.31,,4866.00,,2005ApJS..159..141V,0.76,,2007ApJS..168..297T,0.81,,2007ApJS..168..297T,4.62,,2007ApJS..168..297T,0.540,,2007ApJS..168..297T,VI,-0.120,,,[Fe/H],1,0,,1,0,1,0,0,2,3,4.152,0.264,0,3.657,0.244,0,3.481,0.208,0,,,,,,,,,,,,
41,HIP 12706 A,HIP 12706 A,HD 16970,GJ 106.1 A,2MASS J02431801+0314089 A,1,1,0,0,0,0,0,02h43m18.12s,40.825519,+03d14m10.2s,3.236172,24.41,0.50,-0.48,3.470,0.000,G,0.090,0.000,G,A2Va,21.160,0.060,V-K,02433+0314,2.30000,2.640,0.02,-146.400,,-145.300,,168.919293,-49.381875,0.240,0.050,1966CoLPL...4...99J,1.530,0.040,,1,A,MAINSEQ,4.60,,188.44,,0.00,,31.63,,8673.00,,Gray,2.04,,Turnbull,2.19,,Turnbull,3.96,,Gray,,,,,,,,,1,0,,1,0,1,0,0,1,0,3.241,0.256,0,3.104,0.214,0,3.076,0.264,0,,,,,,,,,,,,
42,HIP 12777,HIP 12777,HD 16895,GJ 107 A,2MASS J02441197+4913423,1,1,1,0,1,0,0,02h44m11.69s,41.048700,+49d13m43.2s,49.228666,11.13,,,4.100,0.020,VT,0.490,0.020,BVT-Red,F7V,2.420,0.060,V-K,02442+4914,,,0.00,334.000,,-90.000,,141.164678,-9.609765,1.120,0.050,1968ApJ...152..465J,3.870,0.020,,0,F,MAINSEQ,1.56,,139.76,,0.00,,29.90,,6344.00,,2005ApJS..159..141V,1.23,,2007ApJS..168..297T,1.24,,2007ApJS..168..297T,4.38,,2007ApJS..168..297T,0.640,,2007ApJS..168..297T,,0.060,,,[Fe/H],1,0,,1,0,1,0,0,2,1,3.031,0.244,0,2.863,0.206,0,2.697,0.288,0,,,,,,,,,,,,
43,HIP 12828,HIP 12828,HD 17094,GJ 9099,2MASS J02445655+1006510,1,1,0,0,0,0,0,02h44m56.37s,41.234889,+10d06m51.2s,10.114220,25.77,0.26,-0.26,4.270,0.010,G,0.310,0.010,G,F1III-IV,10.720,0.100,B-V,02449+1007,0.10000,2.000,0.01,285.200,,-30.400,,163.253863,-43.694502,,,,2.210,0.020,,0,F,MAINSEQ,3.27,,127.05,,0.00,,31.69,,7225.00,,Gray,2.09,,Turnbull,1.84,,Turnbull,3.90,,Gray,,,,,,,,,1,0,,1,0,1,0,0,1,0,3.658,0.248,0,3.439,0.212,0,3.463,0.192,0,,,,,,,,,,,,
44,HIP 12843,HIP 12843,HD 17206,GJ 111,2MASS J02450616-1834211,1,1,1,0,1,0,0,02h45m05.98s,41.274923,-18d34m21.5s,-18.572651,14.22,0.44,-0.41,4.470,0.010,G,0.480,0.010,G,F5/6V,2.830,0.080,V-K,,,,0.03,330.900,,36.300,,200.833163,-62.527282,1.190,0.050,Koornneef,3.710,0.070,,0,F,MAINSEQ,1.68,,118.21,,0.00,,30.44,,6378.00,,Gray,1.38,,Turnbull,1.31,,Turnbull,4.06,,Gray,,,,A,,,,,1,0,,1,0,1,0,0,2,0,3.486,0.292,0,3.236,0.306,0,3.249,0.296,0,,,,,,,,,,,,
45,HIP 13402,HIP 13402,HD 17925,GJ 117,2MASS J02523210-1246109,1,0,1,0,0,1,0,02h52m31.89s,43.132878,-12d46m09.3s,-12.769254,10.35,,,6.050,0.020,VT,0.860,0.020,G,K1V,0.420,0.060,V-K,02525-1246,,,0.00,398.100,,-189.600,,192.072102,-58.254606,1.990,0.050,1968ApJ...152..465J,5.970,0.030,,0,K,MAINSEQ,0.65,,62.36,,0.00,,29.94,,5236.00,,2005ApJS..159..141V,0.80,,2007ApJS..168..297T,0.89,,2007ApJS..168..297T,4.60,,2007ApJS..168..297T,1.500,,2005ApJS..159..141V,A,0.180,,,[Fe/H],1,0,,1,0,1,0,0,2,1,4.830,0.230,0,4.230,0.220,0,4.167,0.242,0,,,,,,,,,,,,
46,HIP 14146,HIP 14146,HD 18978,GJ 121,2MASS J03022353-2337281,1,1,0,0,0,0,0,03h02m23.59s,45.598305,-23d37m27.6s,-23.624336,27.17,,,4.080,0.000,G,0.160,0.000,G,A4V,14.410,0.050,V-K,,,,0.00,-146.000,,-55.800,,213.538866,-60.296284,0.410,0.050,1990MNRAS.242....1C,1.910,0.010,,0,A,MAINSEQ,3.80,,139.68,,0.00,,31.82,,8045.00,,Gray,1.95,,Turnbull,1.98,,Turnbull,3.93,,Gray,,,,,,,,,1,0,,1,0,1,0,0,1,0,3.657,0.268,0,3.539,0.220,0,3.573,0.238,0,,,,,,,,,,,,
47,HIP 14576,HIP 14576,HD 19356,GJ 9110,2MASS J03081012+4057204,1,1,0,0,0,0,0,03h08m10.13s,47.042207,+40d57m20.3s,40.955651,27.57,1.15,-1.06,2.110,0.010,VT,-0.010,0.010,BVT-Blue,B8V,141.600,0.100,V-K,03082+4057,0.10000,2.480,0.04,2.400,,-1.400,,148.976533,-14.900194,-0.130,0.050,1966CoLPL...4...99J,-0.100,0.090,,0,B,MAINSEQ,11.90,,431.60,,0.00,,32.33,,9634.00,,B-V,4.27,,Turnbull,3.56,,Turnbull,,,,,,,,,,,,1,0,,1,0,1,0,0,1,0,1.960,0.236,0,1.948,0.166,0,1.894,0.214,0,,,,,,,,,,,,
48,HIP 14632,HIP 14632,HD 19373,GJ 124,2MASS J03090387+4936479,1,1,1,0,1,1,0,03h09m02.88s,47.262014,+49d36m48.6s,49.613500,10.54,,,4.050,0.000,G,0.600,0.010,G,G0V,2.360,0.050,V-K,03091+4937,,,0.00,1262.300,,-91.500,,144.595022,-7.381462,1.390,0.050,Kidger,3.940,0.010,,0,G,MAINSEQ,1.53,,145.60,,0.00,,29.82,,6032.00,,2005ApJS..159..141V,1.38,,2007ApJS..168..297T,1.18,,2007ApJS..168..297T,4.27,,2007ApJS..168..297T,4.200,,2007ApJS..168..297T,I,0.160,,,[Fe/H],1,0,,1,0,1,0,0,4,3,3.143,0.246,0,2.875,0.206,0,2.723,0.266,0,,,,,,,,,,,,
49,HIP 14668,HIP 14668,HD 19476,,2MASS J03092976+4451271,0,1,0,0,0,0,0,03h09m29.77s,47.374046,+44d51m27.2s,44.857544,34.42,0.76,-0.80,3.810,,,0.980,,,K0,,,,03095+4451,27.70000,9.500,,176.900,0.900,-146.300,0.900,147.123137,-11.432038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,0,1,0,0,1,0,1.908,0.274,0,1.435,0.148,0,1.242,0.168,0,,,,,,,,,,,,
50,HIP 14879 A,HIP 14879 A,HD 20010,GJ 127 A,2MASS J03120443-2859156 A,1,1,1,0,0,0,0,03h12m04.28s,48.017833,-28d59m20.8s,-28.989106,14.24,0.14,-0.14,3.800,0.010,G,0.540,0.020,G,F8V,5.300,0.060,V-K,03121-2859,5.20000,3.210,0.01,371.500,,612.300,,224.733230,-59.031294,1.260,0.050,1966CoLPL...4...99J,3.030,0.020,,1,F,MAINSEQ,2.30,,161.75,,0.00,,30.45,,6258.00,,Gray,1.96,,Turnbull,1.53,,Turnbull,3.81,,Gray,,,,I,,,,,1,0,,1,0,1,0,0,2,0,2.572,0.292,0,2.317,0.268,0,2.238,0.332,0,,,,,,,,,,,,
51,HIP 15330,HIP 15330,HD 20766,GJ 136,2MASS J03174616-6234313,1,0,1,1,0,0,0,03h17m44.47s,49.435288,-62d34m36.8s,-62.576899,12.01,,,5.530,0.000,G,0.640,0.010,G,G3/5V,0.800,0.050,V-K,,,,0.00,1337.800,,648.700,,279.100992,-47.215536,1.550,0.050,Koornneef,5.130,0.010,,0,G,MAINSEQ,0.89,,74.45,,0.00,,30.13,,5699.00,,2005ApJS..159..141V,0.92,,2007ApJS..168..297T,0.96,,2007ApJS..168..297T,4.51,,2007ApJS..168..297T,1.560,,2007ApJS..168..297T,A,-0.240,,,[Fe/H],1,0,,1,0,1,0,0,2,0,4.462,0.302,0,4.041,0.268,0,3.994,0.252,0,,,,,,,,,,,,
52,HIP 15371,HIP 15371,HD 20807,GJ 138,2MASS J03181281-6230230,1,1,1,0,0,0,0,03h18m11.14s,49.546404,-62d30m28.6s,-62.507935,12.03,,,5.240,0.010,G,0.600,0.010,G,G2V,1.030,0.050,V-K,03182-6230,,,0.00,1331.100,,646.800,,278.974580,-47.218480,1.470,0.050,1991ApJ...368..264A,4.840,0.010,,0,G,MAINSEQ,1.02,,84.52,,0.00,,30.12,,5845.00,,2005ApJS..159..141V,0.99,,2007ApJS..168..297T,0.99,,2007ApJS..168..297T,4.47,,2007ApJS..168..297T,3.720,,2007ApJS..168..297T,I,-0.260,,,[Fe/H],1,0,,1,0,1,0,0,2,0,4.271,0.300,0,3.874,0.232,0,3.860,0.228,0,,,,,,,,,,,,
53,HIP 15457,HIP 15457,HD 20630,GJ 137,2MASS J03192169+0322126,1,1,1,0,0,1,0,03h19m21.54s,49.839745,+03d22m11.9s,3.369971,9.14,,,4.840,0.020,VT,0.680,0.010,G,G5V,0.880,0.060,V-K,03194+0322,,,0.00,268.900,,93.500,,178.222928,-43.072751,1.570,0.050,1983MNRAS.203..777A,5.040,0.020,,0,G,MAINSEQ,0.94,,102.45,,0.00,,29.54,,5742.00,,2005ApJS..159..141V,0.95,,2007ApJS..168..297T,1.03,,2007ApJS..168..297T,4.52,,2007ApJS..168..297T,2.200,,2005ApJS..159..141V,,0.120,,,[Fe/H],1,0,,4,3,1,0,0,2,0,3.407,0.192,0,3.039,0.182,0,2.957,0.212,0,,,,,,,,,,,,
54,HD 20794,HIP 15510,HD 20794,GJ 139,2MASS J03195563-4304112,1,1,1,1,0,0,4,03h19m53.22s,49.971770,-43d04m17.6s,-43.071549,6.04,0.06,-0.06,4.260,0.000,G,0.710,0.010,G,G8.0V,0.690,0.050,V-K,,,,0.01,3038.100,,726.300,,250.752899,-56.083425,1.760,0.050,Koornneef,5.350,0.020,,0,G,MAINSEQ,0.83,,137.55,,0.00,,28.70,,5401.00,,2005ApJS..159..141V,0.92,,2007ApJS..168..297T,0.85,,2007ApJS..168..297T,4.46,,2007ApJS..168..297T,13.500,,2005ApJS..159..141V,I,-0.410,,,[Fe/H],1,0,,1,0,1,0,0,2,0,3.032,0.262,0,2.709,0.234,0,2.636,0.278,0,,,,,,,,,,,,
55,HIP 16245,HIP 16245,HD 22001,GJ 143.2 A,2MASS J03292266-6256152,1,1,0,0,0,0,0,03h29m22.19s,52.342444,-62d56m18.4s,-62.938434,21.68,,,4.700,0.020,VT,0.410,0.000,G,F3IV/V,5.180,0.060,V-K,03294-6256,,,0.00,383.100,,373.100,,278.352535,-45.936226,0.980,0.050,1991ApJ...368..264A,3.020,0.020,,0,F,MAINSEQ,2.28,,105.02,,0.00,,31.33,,6629.00,,Gray,1.73,,Turnbull,1.52,,Turnbull,3.86,,Gray,,,,,,,,,1,0,,1,0,1,0,0,2,0,4.223,0.302,0,3.933,0.242,0,3.936,0.254,0,,,,,,,,,,,,
56,eps Eri,HIP 16537,HD 22049,GJ 144,2MASS J03325591-0927298,1,1,1,1,1,1,1,03h32m56.42s,53.235090,-09d27m29.9s,-9.458306,3.21,,,3.710,0.020,VT,0.880,0.010,G,K2.0V,0.350,0.060,V-K,03329-0927,,,0.00,-976.400,,18.000,,195.846551,-48.049255,2.060,0.050,Koornneef,6.180,0.020,,0,K,MAINSEQ,0.59,,184.44,,0.00,,27.42,,5146.00,,2005ApJS..159..141V,0.77,,2007ApJS..168..297T,0.86,,2007ApJS..168..297T,4.61,,2007ApJS..168..297T,2.600,,2005ApJS..159..141V,A,-0.030,,,[Fe/H],1,0,,5,1,1,3,0,3,0,2.228,0.298,0,1.880,0.276,0,1.776,0.286,0,-0.792,,-1,-0.146,,-1,1.748,0.025,0,1.406,0.014,0
57,HIP 16852,HIP 16852,HD 22484,GJ 147,2MASS J03365238+0024054,1,1,1,1,1,1,0,03h36m52.52s,54.218829,+00d24m10.2s,0.402833,13.96,0.14,-0.14,4.290,0.010,G,0.580,0.010,G,F8V,3.290,0.050,V-K,,,,0.01,-232.700,,-482.000,,185.123807,-41.665785,1.350,0.050,1966CoLPL...4...99J,3.570,0.020,,0,F,MAINSEQ,1.81,,129.96,,0.00,,30.43,,6038.00,,2005ApJS..159..141V,1.58,,2007ApJS..168..297T,1.16,,2007ApJS..168..297T,4.12,,2007ApJS..168..297T,5.640,,2007ApJS..168..297T,,-0.020,,,[Fe/H],1,0,,1,0,1,0,0,2,0,3.194,0.246,0,2.916,0.200,0,2.835,0.260,0,,,,,,,,,,,,
58,HIP 17378,HIP 17378,HD 23249,GJ 150,2MASS J03431490-0945490,1,1,1,0,0,1,0,03h43m14.96s,55.812317,-09d45m54.7s,-9.765199,9.04,,,3.520,0.020,VT,0.930,0.020,BVT-G-Red,K0IV,3.370,0.060,V-K,,,,0.00,-91.700,,742.200,,198.089726,-45.996470,2.100,0.050,Koornneef,3.740,0.020,,0,GIANT,GIANT,1.84,,203.18,,0.00,,29.68,,5095.00,,2005ApJS..159..141V,2.27,,2007ApJS..168..297T,1.19,,2007ApJS..168..297T,4.01,,2007ApJS..168..297T,6.280,,2007ApJS..168..297T,,0.160,,,[Fe/H],1,0,,1,0,1,0,0,2,2,2.060,0.362,0,1.729,0.280,0,1.619,0.292,0,,,,,,,,,,,,
59,HIP 17440,HIP 17440,HD 23817,GJ 154.2,2MASS J03441195-6448248,1,1,0,0,0,0,0,03h44m11.55s,56.048145,-64d48m25.5s,-64.807094,29.86,0.61,-0.59,3.840,0.000,G,1.130,0.000,G,K0IV SB,39.120,0.110,B-V,03442-6448,0.10000,2.800,0.02,308.400,,78.700,,279.236735,-43.536902,,,,1.460,0.040,,0,GIANT,GIANT,6.25,,209.47,,0.00,,32.66,,4514.00,,B-V,10.22,,Turnbull,2.56,,Turnbull,,,,,,,,,,,,1,0,,1,0,1,0,0,1,0,1.937,0.310,0,1.374,0.324,0,1.279,0.270,0,,,,,,,,,,,,
60,HIP 17651,HIP 17651,HD 23754,GJ 155,2MASS J03465090-2314585,1,1,0,0,1,0,0,03h46m50.99s,56.712454,-23d14m54.4s,-23.248438,17.63,,,4.220,0.010,G,0.430,0.010,G,F3/5V,5.390,0.100,B-V,,,,0.00,-159.900,,-528.500,,217.349461,-50.323455,,,,2.990,0.020,,0,F,MAINSEQ,2.32,,131.76,,0.00,,30.89,,6631.00,,Gray,1.76,,Turnbull,1.54,,Turnbull,4.06,,Gray,,,,A,,,,,1,0,,1,0,1,0,0,2,0,3.609,0.302,0,3.393,0.236,0,3.353,0.270,0,,,,,,,,,,,,
61,HIP 18907,HIP 18907,HD 25490,,2MASS J04030936+0559214,0,1,0,0,0,0,0,04h03m09.38s,60.789085,+05d59m21.5s,5.989305,39.62,1.32,-1.41,3.910,,,0.030,,,A0.5 Va,,,,,,,,4.500,0.400,-2.300,0.400,184.679669,-33.058553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,0,1,0,0,1,0,3.752,0.198,0,3.842,0.190,0,3.783,0.304,0,,,,,,,,,,,,
62,HIP 19747,HIP 19747,HD 26967,,2MASS J04140010-4217396,0,1,0,0,0,0,0,04h14m00.11s,63.500477,-42d17m39.7s,-42.294369,35.91,0.65,-0.67,3.860,,,1.100,,,K2 III,,,,,,,,41.600,0.700,-204.500,0.600,246.879546,-46.414101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,0,1,0,0,1,0,1.930,0.286,0,1.360,0.264,0,1.234,0.252,0,,,,,,,,,,,,
63,HD 26965,HIP 19849,HD 26965,GJ 166 A,2MASS J04151651-0739068,1,1,1,1,1,1,1,04h15m17.64s,63.823492,-07d38m40.4s,-7.644558,4.98,,,4.430,0.000,G,0.820,0.000,G,K0.5V,0.420,0.100,B-V,04153-0739,,,0.00,-2239.300,,-3419.900,,200.746863,-38.039018,,,,5.940,0.010,,0,K,MAINSEQ,0.65,,130.77,,0.00,,28.34,,5151.00,,2005ApJS..159..141V,0.82,,2007ApJS..168..297T,0.81,,2007ApJS..168..297T,4.55,,2007ApJS..168..297T,12.200,,2005ApJS..159..141V,I,-0.280,,,[Fe/H],1,0,,1,0,1,0,0,3,3,3.013,0.238,0,2.594,0.198,0,2.498,0.236,0,9.594,0.029,0,8.015,0.035,0,8.889,0.098,0,8.353,,0
64,HIP 19859,HIP 19859,HD 26923,,2MASS J04152879+0611128,1,0,0,1,0,0,0,04h15m28.86s,63.870270,+06d11m13.6s,6.187121,21.33,0.22,-0.21,6.320,0.010,G,0.570,0.010,G,G0IV...,1.200,0.040,V-K,04155+0611,,,0.01,-109.400,,-108.300,,186.677812,-30.500828,1.420,0.020,2MASS,4.670,0.030,,0,G,MAINSEQ,1.09,,51.29,,0.00,,31.36,,5999.00,,Gray,1.01,,Turnbull,1.05,,Turnbull,4.45,,Gray,,,,A,,,,,1,0,,1,0,1,0,0,2,0,5.201,0.037,0,5.012,0.034,0,4.903,0.020,0,,,,,,,,,,,,
65,HIP 19893,HIP 19893,HD 27290,GJ 167.1,2MASS J04160159-5129119,1,1,0,0,0,0,0,04h16m01.49s,64.006214,-51d29m13.5s,-51.487096,20.46,0.21,-0.20,4.250,0.020,VT,0.310,0.010,G,F0V,6.900,0.060,V-K,,,,0.01,100.600,,184.200,,259.835545,-44.785030,0.780,0.050,1991ApJ...368..264A,2.690,0.030,,0,F,MAINSEQ,2.63,,128.40,,0.00,,31.19,,7060.00,,Gray,1.75,,Turnbull,1.64,,Turnbull,3.97,,Gray,,,,,,,,,1,0,,1,0,1,0,0,2,0,3.683,0.252,0,3.469,0.208,0,3.514,0.224,0,,,,,,,,,,,,
66,HD 27442,HIP 19921,HD 27442,GJ 167.3,2MASS J04162902-5918078,1,1,0,0,0,1,1,04h16m29.08s,64.121181,-59d18m06.3s,-59.301748,18.24,,,4.440,0.000,G,1.080,0.010,G,K1/2III,6.880,0.050,V-K,04165-5918,,,0.00,-48.000,,-167.800,,270.203688,-42.563169,2.470,0.050,1966CoLPL...4...99J,3.140,0.010,,0,GIANT,GIANT,2.62,,143.81,,0.00,,31.38,,4846.00,,2005ApJS..159..141V,3.43,,2007ApJS..168..297T,1.48,,2007ApJS..168..297T,3.56,,2007ApJS..168..297T,2.840,,2007ApJS..168..297T,,0.420,,,[Fe/H],1,0,,3,0,1,2,0,2,0,2.374,0.236,0,1.814,0.184,0,1.745,0.218,0,,,,,,,,,,,,
67,alf Tau,HIP 21421,HD 29139,GJ 171.1 A,2MASS J04355524+1630331,1,1,0,0,0,0,1,04h35m55.20s,68.980002,+16d30m35.1s,16.509762,20.43,0.42,-0.40,0.870,0.010,G,1.540,0.010,G,K5III,469.490,0.060,V-K,04359+1631,,,0.02,62.800,,-189.400,,180.971467,-20.248071,3.690,0.050,1964ApJ...139.1130L,-0.680,0.040,,0,GIANT,GIANT,21.67,,1060.42,,0.00,,32.39,,3889.00,,V-K,47.70,,Turnbull,4.84,,Turnbull,,,,,,,,,,,,1,0,,1,0,1,0,0,2,0,-2.095,0.194,0,-2.775,0.170,0,-3.044,0.140,0,5.605,,-1,1.267,,-1,-2.783,,-1,-2.927,0.003,0
68,HIP 21770,HIP 21770,HD 29875,GJ 174.1 A,2MASS J04403374-4151495 A,1,1,0,0,0,0,0,04h40m33.82s,70.140930,-41d51m48.9s,-41.863570,20.17,,,4.440,0.010,G,0.340,0.010,G,F1V,5.610,0.050,V-K,04406-4152,,,0.00,-141.200,,-75.000,,246.155829,-41.495344,0.770,0.050,1966CoLPL...4...99J,2.920,0.010,,0,F,MAINSEQ,2.37,,117.47,,0.00,,31.16,,6991.00,,Gray,1.61,,Turnbull,1.56,,Turnbull,4.01,,Gray,,,,,,,,,1,0,,1,0,1,0,0,2,0,3.944,0.354,0,3.654,0.292,0,3.724,0.324,0,,,,,,,,,,,,
